Маршрут (A — B),Рейтинг,Сделок,Поездок (строк),Водителей (уникальных),Сумма ставок,Средняя ставка
Махачкала — Тольятти,0.0179,3,3,3,73000,24333.33
Кропоткин — Москва,0.0179,3,3,3,76000,25333.33
Екатеринбург — Казань,0.0178,3,3,3,72800,24266.67
Москва — Пенза,0.0174,3,3,3,55000,18333.33
Казань — Тольятти,0.0172,3,3,3,45000,15000.0
Новосибирск — Омск,0.0167,3,3,3,23000,7666.67
Нижний Новгород — Нижний Новгород,0.0166,3,3,3,20500,6833.33
Новосибирск — Новосибирск,0.0165,3,3,3,15000,5000.0
Екатеринбург — Екатеринбург,0.016,8,8,2,61000,7625.0
Новосибирск — Уфа,0.0152,4,4,1,500000,125000.0
Красноярск — Санкт-Петербург,0.0151,3,3,2,250000,83333.33
Владикавказ — Санкт-Петербург,0.015,8,8,1,310000,38750.0
Москва — Нальчик,0.0148,5,5,2,147500,29500.0
Москва — Уссурийск,0.0142,2,2,2,259000,129500.0
Москва — Чита,0.0138,3,3,2,195334,65111.33
Москва — Томск,0.0136,3,3,2,187334,62444.67
Владивосток — Владивосток,0.0133,6,6,2,38600,6433.33
Екатеринбург — Санкт-Петербург,0.0133,2,2,2,218000,109000.0
Москва — Нижневартовск,0.013,3,3,2,160000,53333.33
Мурманск — Санкт-Петербург,0.013,4,4,2,116000,29000.0
Астрахань — Тюмень,0.0128,3,3,2,153000,51000.0
Екатеринбург — Иркутск,0.0124,3,3,2,135000,45000.0
Калининград — Москва,0.0123,4,4,1,380000,95000.0
Благовещенск — Москва,0.012,2,2,2,165000,82500.0
Казань — Казань,0.0119,5,5,2,24700,4940.0
Астрахань — Челябинск,0.0116,3,3,2,105000,35000.0
Нижневартовск — Тольятти,0.0115,3,3,2,100000,33333.33
Махачкала — Москва,0.0113,3,3,2,91000,30333.33
Челябинск — Челябинск,0.0109,4,4,2,29230,7307.5
Иркутск — Уфа,0.0109,2,2,2,118000,59000.0
Новосибирск — Санкт-Петербург,0.0108,2,2,2,115000,57500.0
Екатеринбург — Махачкала,0.0108,2,2,2,115000,57500.0
Краснодар — Омск,0.0106,2,2,2,108000,54000.0
Екатеринбург — Минеральные Воды,0.0103,2,2,2,95000,47500.0
Ростов-на-Дону — Тюмень,0.0102,2,2,2,91000,45500.0
Санкт-Петербург — Тюмень,0.0102,2,2,2,88000,44000.0
Екатеринбург — Ростов-на-Дону,0.0102,2,2,2,90000,45000.0
Владивосток — Санкт-Петербург,0.0101,2,2,1,376250,188125.0
Иркутск — Челябинск,0.0101,2,2,2,85000,42500.0
